lineage,sample,meanAF,meanAF_uniq,minAF_uniq_nonzero,N,lineage N. rules,lineage prop.
EG.1.1,NA,0,0,NA,0,1,0
EG.1.2,NA,0,0,NA,0,1,0
EG.1.3,NA,0,0,NA,0,1,0
EG.1.4,NA,0,0,NA,0,1,0
EG.2,NA,0,0,NA,0,1,0
EG.3,NA,0,0,NA,0,1,0
EG.4,NA,0,0,NA,0,1,0
EG.5,NA,0,0,NA,0,1,0
EG.5.1,NA,0,0,NA,0,1,0
EH.1,NA,0,0,NA,0,1,0
EJ.1,NA,0,0,NA,0,1,0
EJ.2,NA,0,0,NA,0,1,0
EJ.3,NA,0,0,NA,0,1,0
EK.1,NA,0,0,NA,0,1,0
EK.2,NA,0,0,NA,0,1,0
EK.2.1,NA,0,0,NA,0,1,0
EK.3,NA,0,0,NA,0,1,0
EK.4,NA,0,0,NA,0,1,0
